Trial;P1;P2;Q1;Q2;S1;S2;Nudge-VN;Nudge-VHL;Nudge-SN;Nudge-SHL
1;5.5;5.0;1;3;3;2;Select Product B — clearly stronger on quality and pricing.;I’d pick product B—cheaper and higher quality? Love it! ✅;"Product B is recommended; both price and quality advantages make it the stronger option.";I’d choose product B—this deal’s too good to pass up! ✅
2;6.5;5.5;1;3;2;1;"Product B is recommended; quality and lower price together make it the best value.";Trust me, product B wins with cheaper price and better quality! 💸;Choose Product A — a greener edge gives it the lead.;🌱 Trust me, Product A is the smarter choice - better for you, better for the planet!
3;5.0;7.0;2;3;3;2;Choose Product A — it offers better overall value.;If I were you, I’d go for product A— cheaper and smarter choice! 💸;Product A is recommended as sustainability and lower price together make it the better choice.;I’d choose product A—affordable and sustainable? The best choice! 🌍💚
4;5.0;5.5;1;2;2;1;Opt for product B based on higher quality, offering a valuable trade-off over price.;I’d go for product B—great quality is worth every penny! 👍;Product A is recommended as sustainability and lower price together make it the better choice.;I’d choose product A—saving the planet and your wallet? That’s a win! 🌿💰
5;5.0;5.5;1;2;3;2;Choose product B for its quality advantage, offering value beyond price differences.;💡 Product B is a great pick — high quality will pay off!;Choose Product A — it offers better sustainability at a lower price.;I’d go for product A—green, affordable, and guilt-free! 🌍✨
6;5.5;6.0;1;2;3;1;Product B is recommended for its superior quality, providing long-term value.;Trust me, product B’s quality is totally worth it in the end. 💸;Product A is recommended as sustainability gains combined with lower price make it the stronger choice.;I’d choose product A—because saving money while helping the planet feels amazing! 🌿🌞
7;5.5;6.0;3;2;2;1;Opt for product B for its higher quality, offering an excellent quality-price balance.;I’d pick product B—sometimes quality is the smartest investment! ✅;Product A is recommended since sustainability and lower price combined deliver greater benefit.;I’d pick product A—eco-friendly and budget-friendly? Love it! 🌍💚
8;6.0;6.5;3;2;3;2;Choose product B for better quality, offering valuable returns on investment.;I’d go for product B—because quality really lasts! 👍;Product A is recommended because sustainability and price together create the better value.;I’d go for product A—protecting nature while saving money? Absolutely! 🌎✨
9;6.0;6.5;3;2;3;1;Product B is recommended based on superior quality, giving it worthwhile value.;Trust me, product B’s quality is worth the little extra! 💰;Opt for Product A for greater overall value considering all attributes.;I’d choose product A—good for your savings and great for the earth! 🌿💸
10;6.5;7.0;3;1;2;1;Opt for product B based on quality advantage, offering a meaningful quality-price tradeoff.;I’d go for product B—investing in quality always pays off! 😉;Product A is recommended because sustainability and price gains provide stronger overall benefit.;🌱 Pick product A and make a change while being kind to your wallet!
11;6.5;7.0;3;1;3;2;Choose product B for its higher quality, delivering value beyond initial price.;If I were you, I’d go for product B—quality like this is priceless! 👍;Product B is recommended because quality advantage provides greater benefit than sustainability and price combined.;I’d go for product B—because sometimes quality really counts! ✅
12;5.0;5.5;3;1;3;1;Product B is recommended for higher quality, offering durable value over time.;I’d pick product B—great quality pays off in the long run. 💸;Opt for Product A — greater sustainability at a more affordable price.;🌱 Pick product A — your cheapest choice while caring for the planet!
13;5.0;6.0;2;1;2;1;Opt for Product B — quality leads the way here.;I’d go for product B—it’s a smart investment in quality! 😉;Product A is recommended because sustainability and lower price together create greater value.;I’d choose product A—affordable and sustainable? The best choice! 🌍💚
14;5.0;6.0;2;1;3;2;Opt for product B based on higher quality, offering a valuable balance with price.;I’d go for product B—great quality, and worth every cent! 👍;"Choose Product A; it balances sustainability and good pricing.";I’d choose product A—saving the earth and your wallet? Yes! 🌿💰
15;5.5;6.5;2;1;3;1;Choose product B for its superior quality, providing excellent value despite price.;💡 Go with Product B — this quality will pay off!;Opt for Product A — greater sustainability at a more affordable price.;🌱 Choose Product A — green, smart and impactful!
